epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.478,1.32247,3.1129,1.1908,0.01033,1,0.90054,0.60299,1.05972,2.89972,0.94007,0.00028,0.00028,0.00028
2,76.2926,1.14995,1.96026,1.0212,0.02129,1,0.98522,0.69344,0.93748,2.68376,0.88743,0.00056724,0.00056724,0.00056724
3,112.915,1.08272,1.31864,1.02977,0.01033,1,0.83634,0.58696,0.86009,2.52176,0.90566,0.00084128,0.00084128,0.00084128
4,148.874,1.02791,1.17591,1.05794,0.14248,0.41935,0.13604,0.10062,0.9501,2.46456,0.97369,0.00110212,0.00110212,0.00110212
5,185.217,1.00688,1.12309,1.03937,1,0.79017,0.90183,0.74205,0.75351,2.00253,0.91613,0.00134976,0.00134976,0.00134976
6,220.476,1.01177,1.11387,1.01117,1,0.73366,0.95746,0.76435,0.80194,1.90795,0.94618,0.0015842,0.0015842,0.0015842
7,256.364,0.91345,0.99888,1.01592,0.99031,1,0.995,0.76746,0.79398,1.31894,0.93648,0.001736,0.001736,0.001736
8,311.111,0.93954,0.94088,0.99238,0.96342,1,0.98594,0.77537,0.83495,1.12344,0.95419,0.001692,0.001692,0.001692
9,349.481,0.94633,0.95006,1.00365,1,0.99675,0.995,0.78953,0.82793,1.0249,0.94294,0.001648,0.001648,0.001648
10,383.691,0.90548,0.88644,0.96947,0.99785,1,0.995,0.80016,0.77885,0.89522,0.94309,0.001604,0.001604,0.001604
11,418.699,0.91993,0.86898,1.02129,0.99793,1,0.995,0.78256,0.82228,0.82411,0.94931,0.00156,0.00156,0.00156
12,453.367,0.886,0.84169,0.97231,0.99764,1,0.995,0.80425,0.75028,0.73707,0.93777,0.001516,0.001516,0.001516
13,488.382,0.83905,0.83368,0.98333,0.99873,1,0.995,0.80101,0.74925,0.74993,0.9318,0.001472,0.001472,0.001472
14,522.35,0.90502,0.7824,0.99101,0.99984,1,0.995,0.79799,0.75085,0.7663,0.92465,0.001428,0.001428,0.001428
15,557.577,0.87136,0.77477,0.97992,0.99582,1,0.995,0.81784,0.71156,0.74845,0.92053,0.001384,0.001384,0.001384
16,593.146,0.89273,0.77448,0.97836,0.99808,1,0.995,0.80595,0.76369,0.686,0.9125,0.00134,0.00134,0.00134
17,627.29,0.87825,0.73734,0.9797,0.99787,1,0.995,0.81462,0.70845,0.60869,0.90332,0.001296,0.001296,0.001296
18,663.216,0.81534,0.70392,0.94006,0.99799,1,0.995,0.8267,0.70718,0.61792,0.89967,0.001252,0.001252,0.001252
19,697.214,0.81082,0.66101,0.93764,0.99784,1,0.995,0.82693,0.71098,0.6103,0.89649,0.001208,0.001208,0.001208
20,732.495,0.81769,0.67996,0.95228,0.99816,1,0.995,0.83716,0.74892,0.58905,0.9047,0.001164,0.001164,0.001164
21,767.133,0.78562,0.65019,0.94462,0.99767,1,0.995,0.82589,0.72253,0.58574,0.90518,0.00112,0.00112,0.00112
22,801.113,0.80391,0.68315,0.97381,0.99745,1,0.995,0.83625,0.68394,0.59922,0.89792,0.001076,0.001076,0.001076
23,836.233,0.84194,0.66087,0.95392,0.99804,1,0.995,0.84115,0.69721,0.56534,0.89176,0.001032,0.001032,0.001032
24,871,0.80348,0.63689,0.94533,0.99811,1,0.995,0.8091,0.68809,0.55008,0.89603,0.000988,0.000988,0.000988
