epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.353,2.53484,2.75386,1.78583,0.53763,0.31208,0.34385,0.20374,1.90856,2.37426,1.46425,0.000548158,0.000548158,0.000548158
2,488.712,1.85599,1.71284,1.29655,0.72958,0.61908,0.68215,0.38273,1.51322,1.27327,1.12719,0.00107954,0.00107954,0.00107954
3,705.272,1.70096,1.38225,1.20603,0.75441,0.66066,0.73923,0.42805,1.43962,1.15014,1.09854,0.00158647,0.00158647,0.00158647
4,908.56,1.61227,1.23442,1.15913,0.8295,0.71028,0.78788,0.45771,1.40062,1.0126,1.07859,0.00155698,0.00155698,0.00155698
5,1117.56,1.54799,1.1321,1.11115,0.84933,0.747,0.82397,0.48757,1.35555,0.95014,1.05553,0.0015203,0.0015203,0.0015203
6,1342.22,1.50971,1.09136,1.09997,0.89421,0.73429,0.82574,0.47598,1.39485,0.93355,1.05251,0.00148363,0.00148363,0.00148363
7,1580.61,1.47775,1.04166,1.07708,0.8619,0.78315,0.85373,0.51101,1.31547,0.84624,1.01035,0.00144696,0.00144696,0.00144696
8,1806.17,1.43454,0.98369,1.06063,0.86932,0.79816,0.85566,0.52462,1.28542,0.82598,1.00921,0.00141028,0.00141028,0.00141028
9,2052.59,1.44146,0.98512,1.0654,0.8865,0.76777,0.85172,0.5205,1.27276,0.82733,1.01127,0.00137361,0.00137361,0.00137361
10,2289.72,1.41318,0.94762,1.04393,0.85144,0.78903,0.84854,0.51093,1.27281,0.80166,1.00363,0.00133693,0.00133693,0.00133693
11,2503.81,1.36897,0.91766,1.03846,0.88967,0.81436,0.87102,0.53612,1.26842,0.784,0.99341,0.00130026,0.00130026,0.00130026
12,2706.21,1.35681,0.89509,1.02648,0.86219,0.83315,0.86875,0.53409,1.24168,0.76189,0.98727,0.00126359,0.00126359,0.00126359
13,2913.13,1.3541,0.88101,1.02114,0.89875,0.79044,0.86594,0.52292,1.25838,0.75434,0.99195,0.00122691,0.00122691,0.00122691
14,3124.5,1.32655,0.852,1.00766,0.88774,0.82071,0.87914,0.53998,1.24498,0.74997,0.98715,0.00119024,0.00119024,0.00119024
15,3347.36,1.32293,0.83643,1.00928,0.89021,0.84824,0.88779,0.54328,1.24238,0.72378,0.9837,0.00115356,0.00115356,0.00115356
16,3565.07,1.30614,0.82245,1.00152,0.89515,0.82009,0.8842,0.5317,1.2769,0.73641,0.99375,0.00111689,0.00111689,0.00111689
17,3797.24,1.28645,0.80064,0.99718,0.90636,0.81942,0.88382,0.55778,1.20667,0.70326,0.96973,0.00108022,0.00108022,0.00108022
18,4042.66,1.28907,0.80336,0.99213,0.91724,0.82948,0.89266,0.54406,1.2535,0.70258,0.9747,0.00104354,0.00104354,0.00104354
19,4258.95,1.27632,0.78747,0.99446,0.89105,0.84775,0.89496,0.55842,1.20133,0.68894,0.97056,0.00100687,0.00100687,0.00100687
20,4502.17,1.29727,0.79519,0.99309,0.91518,0.83971,0.89601,0.56809,1.20711,0.68015,0.96921,0.000970194,0.000970194,0.000970194
21,4752.86,1.25153,0.78082,0.9874,0.91241,0.84316,0.90252,0.56524,1.22235,0.6756,0.96508,0.00093352,0.00093352,0.00093352
22,5018.09,1.26853,0.7651,0.9761,0.86942,0.83586,0.87711,0.52563,1.28606,0.71796,0.99021,0.000896846,0.000896846,0.000896846
23,5252.33,1.24162,0.75057,0.97934,0.91858,0.84869,0.90748,0.57365,1.20681,0.66612,0.96481,0.000860172,0.000860172,0.000860172
24,5503.42,1.25425,0.75792,0.9776,0.90213,0.83978,0.89778,0.56085,1.22041,0.66365,0.97345,0.000823498,0.000823498,0.000823498
25,5729.24,1.23337,0.74281,0.97825,0.91033,0.8426,0.90169,0.56294,1.21909,0.66304,0.96468,0.000786824,0.000786824,0.000786824
26,5961.29,1.23031,0.73331,0.97395,0.91637,0.83328,0.9002,0.55784,1.2108,0.65567,0.96455,0.00075015,0.00075015,0.00075015
27,6171.81,1.25331,0.73675,0.97768,0.90418,0.8537,0.90005,0.55981,1.20044,0.65993,0.96223,0.000713476,0.000713476,0.000713476
28,7388.8,1.22718,0.72378,0.97787,0.9144,0.83385,0.89604,0.53425,1.28596,0.67593,0.98774,0.000676802,0.000676802,0.000676802
29,8234.94,1.25295,0.73632,0.97697,0.90569,0.85059,0.90426,0.56886,1.21381,0.64883,0.96963,0.000640128,0.000640128,0.000640128
30,8426.17,1.24968,0.72047,0.97723,0.90017,0.86748,0.90728,0.57045,1.19516,0.63923,0.95728,0.000603454,0.000603454,0.000603454
31,9527.72,1.21559,0.70215,0.96154,0.90648,0.83967,0.89857,0.55954,1.22505,0.63988,0.96783,0.00056678,0.00056678,0.00056678
32,9915.16,1.22835,0.70957,0.97193,0.91882,0.84054,0.89936,0.56871,1.20213,0.63195,0.96801,0.000530106,0.000530106,0.000530106
33,10110.4,1.20036,0.69939,0.96697,0.90796,0.85764,0.90934,0.57915,1.19912,0.62564,0.9614,0.000493432,0.000493432,0.000493432
34,10304.2,1.19295,0.69566,0.95423,0.91472,0.86194,0.91549,0.5793,1.18544,0.6245,0.96177,0.000456758,0.000456758,0.000456758
35,10819,1.18817,0.69446,0.95972,0.89165,0.87356,0.91164,0.58551,1.17121,0.6175,0.95705,0.000420084,0.000420084,0.000420084
36,11039.1,1.16422,0.6855,0.96767,0.90376,0.85651,0.91116,0.57325,1.21006,0.6416,0.9591,0.00038341,0.00038341,0.00038341
37,11460.1,1.15766,0.66426,0.96506,0.91692,0.84096,0.90395,0.57404,1.19682,0.63954,0.9637,0.000346736,0.000346736,0.000346736
