epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.874,1.67522,2.68729,1.18838,0.9458,0.14713,0.51566,0.25968,1.53089,2.81237,1.0986,0.000547614,0.000547614,0.000547614
2,396.029,1.4984,1.29296,1.09174,0.74572,0.7394,0.77266,0.44706,1.33818,1.23339,1.07059,0.00107901,0.00107901,0.00107901
3,582.33,1.4569,1.1594,1.08037,0.77201,0.73069,0.77073,0.39515,1.50756,1.18853,1.14716,0.00158595,0.00158595,0.00158595
4,768.724,1.38863,1.07321,1.05468,0.82243,0.77426,0.83952,0.49053,1.28916,1.00964,1.04847,0.00155698,0.00155698,0.00155698
5,952.962,1.3621,1.01929,1.04354,0.82976,0.82274,0.86995,0.52918,1.26707,0.95764,1.05495,0.0015203,0.0015203,0.0015203
6,1141.87,1.35335,0.97921,1.03571,0.80675,0.79682,0.85109,0.51182,1.26607,0.92517,1.04906,0.00148363,0.00148363,0.00148363
7,1335.12,1.35738,0.95083,1.03781,0.84175,0.83099,0.86676,0.52426,1.26769,0.9086,1.02438,0.00144696,0.00144696,0.00144696
8,1519.51,1.35608,0.9528,1.04468,0.84631,0.79715,0.85625,0.51639,1.25238,0.90428,1.03766,0.00141028,0.00141028,0.00141028
9,1706.37,1.31852,0.90394,1.02459,0.87308,0.83264,0.89424,0.54389,1.23817,0.85207,1.0268,0.00137361,0.00137361,0.00137361
10,1913.46,1.31869,0.87998,1.02725,0.84812,0.83309,0.88455,0.519,1.29181,0.86609,1.04751,0.00133693,0.00133693,0.00133693
11,2121.92,1.29061,0.8621,1.02477,0.86181,0.82025,0.89445,0.54733,1.23557,0.82871,1.00636,0.00130026,0.00130026,0.00130026
12,2358.12,1.29497,0.84339,1.0021,0.85798,0.83297,0.89759,0.53984,1.24343,0.83001,1.0113,0.00126359,0.00126359,0.00126359
13,2644.71,1.27835,0.82217,1.00336,0.88542,0.84503,0.90984,0.57637,1.17069,0.78439,1.00247,0.00122691,0.00122691,0.00122691
14,2979.46,1.2765,0.81413,1.01074,0.85252,0.86058,0.91115,0.56545,1.19423,0.75702,1.0079,0.00119024,0.00119024,0.00119024
15,3303.72,1.28304,0.81064,1.00409,0.87004,0.81564,0.8826,0.54579,1.2295,0.79482,1.0164,0.00115356,0.00115356,0.00115356
16,3578.38,1.31621,0.81684,1.02226,0.8571,0.83039,0.89935,0.54248,1.27304,0.7962,1.03882,0.00111689,0.00111689,0.00111689
17,3931.5,1.25356,0.76305,0.9886,0.88101,0.86478,0.91608,0.56585,1.22302,0.73932,1.00484,0.00108022,0.00108022,0.00108022
18,4163.84,1.25165,0.76079,0.99335,0.89868,0.85416,0.92167,0.57767,1.18984,0.72955,0.99459,0.00104354,0.00104354,0.00104354
