epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.829,1.71926,2.66755,1.17325,0.89318,0.35037,0.63368,0.36858,1.4194,2.33903,1.00076,0.000548055,0.000548055,0.000548055
2,402.527,1.53311,1.25182,1.07528,0.78185,0.74153,0.79178,0.43894,1.41387,1.19123,1.03402,0.00109279,0.00109279,0.00109279
3,602.079,1.45917,1.13767,1.05647,0.81252,0.75917,0.81576,0.45541,1.38595,1.17909,1.04269,0.00162653,0.00162653,0.00162653
4,802.053,1.44004,1.06388,1.04459,0.82598,0.80399,0.84365,0.48102,1.31306,0.96454,1.00562,0.00161749,0.00161749,0.00161749
5,1009.46,1.38612,0.98414,1.0238,0.86524,0.82169,0.86786,0.50006,1.31855,0.88904,1.00055,0.00160099,0.00160099,0.00160099
6,1217.18,1.36478,0.94416,1.02251,0.9012,0.84555,0.89511,0.52651,1.27709,0.83253,0.99952,0.00158448,0.00158448,0.00158448
7,1417.11,1.37378,0.90244,1.01885,0.88548,0.83576,0.88431,0.5079,1.30774,0.81316,0.99409,0.00156798,0.00156798,0.00156798
8,1617.35,1.32762,0.88619,1.00904,0.90096,0.83301,0.89503,0.54625,1.20788,0.77304,0.96857,0.00155148,0.00155148,0.00155148
9,1827,1.32838,0.86285,1.00167,0.8856,0.83694,0.89017,0.53969,1.25735,0.79751,0.98508,0.00153497,0.00153497,0.00153497
10,2038.99,1.29057,0.83881,0.99255,0.91301,0.81766,0.8885,0.53237,1.24558,0.81455,0.97862,0.00151847,0.00151847,0.00151847
11,2255.13,1.28999,0.81969,0.99279,0.90487,0.83207,0.89622,0.52963,1.26018,0.75914,0.97367,0.00150197,0.00150197,0.00150197
12,2468.09,1.38145,0.84673,1.01269,0.85536,0.82696,0.87654,0.50581,1.32275,0.7774,0.99034,0.00148546,0.00148546,0.00148546
13,2680.33,1.29234,0.80122,0.98753,0.91,0.83905,0.89789,0.56068,1.20856,0.72719,0.9628,0.00146896,0.00146896,0.00146896
14,2891.36,1.26243,0.7898,0.98296,0.85007,0.86702,0.90222,0.55828,1.21457,0.71653,0.96785,0.00145246,0.00145246,0.00145246
15,3103.72,1.26185,0.76049,0.98432,0.88192,0.85114,0.89484,0.5495,1.21502,0.7149,0.96517,0.00143595,0.00143595,0.00143595
16,3318.27,1.24267,0.73882,0.97254,0.87714,0.87559,0.91436,0.57159,1.20811,0.67124,0.95718,0.00141945,0.00141945,0.00141945
17,3526.93,1.23574,0.74387,0.97661,0.91491,0.86394,0.92137,0.58517,1.17981,0.65538,0.95369,0.00140295,0.00140295,0.00140295
18,3737.3,1.24336,0.73596,0.97174,0.92619,0.84061,0.91035,0.56373,1.22645,0.68368,0.97355,0.00138644,0.00138644,0.00138644
19,3948.4,1.24337,0.70915,0.97675,0.91633,0.85222,0.91052,0.57501,1.16947,0.64467,0.95122,0.00136994,0.00136994,0.00136994
20,4159.66,1.22663,0.70463,0.97192,0.90611,0.8586,0.91257,0.56021,1.20365,0.65424,0.96364,0.00135344,0.00135344,0.00135344
21,4374.47,1.23417,0.71524,0.96749,0.90171,0.84163,0.90305,0.56308,1.20854,0.65165,0.97029,0.00133693,0.00133693,0.00133693
22,4589.79,1.21624,0.70345,0.96247,0.90717,0.836,0.91216,0.58453,1.16134,0.63352,0.95044,0.00132043,0.00132043,0.00132043
23,4804.97,1.2311,0.69906,0.97442,0.89802,0.86829,0.91461,0.55561,1.23404,0.69818,0.97045,0.00130393,0.00130393,0.00130393
24,5020.42,1.21454,0.68693,0.96474,0.91956,0.87003,0.92363,0.5888,1.16841,0.63691,0.95185,0.00128742,0.00128742,0.00128742
25,5233.63,1.19168,0.67707,0.96092,0.91175,0.86802,0.92283,0.58818,1.17083,0.62167,0.94569,0.00127092,0.00127092,0.00127092
26,5451.23,1.16649,0.65905,0.95584,0.91729,0.86125,0.92286,0.59428,1.15495,0.62839,0.95369,0.00125442,0.00125442,0.00125442
27,5668.66,1.19037,0.66627,0.96138,0.92336,0.86817,0.91778,0.58049,1.19044,0.61894,0.95038,0.00123791,0.00123791,0.00123791
28,5888.04,1.1862,0.66064,0.96037,0.91986,0.86928,0.92001,0.5769,1.20253,0.62602,0.95869,0.00122141,0.00122141,0.00122141
29,6108.02,1.21955,0.67363,0.96,0.91915,0.85641,0.92071,0.59623,1.15065,0.61782,0.951,0.00120491,0.00120491,0.00120491
30,6325.83,1.20119,0.6627,0.95642,0.91691,0.86168,0.91433,0.56416,1.22806,0.61063,0.96962,0.0011884,0.0011884,0.0011884
